beer_name,brewery_name,beer_style,review_taste,beer_abv
Plaid Bastard,Grand Lake Brewing Company,Scotch Ale / Wee Heavy,4,8
Plaid Ferret Scottish Ale,Weasel Boy Brewing Company,Scottish Ale,4.25,4.5
Plain Old Porter,Red Star Brewery & Grill,American Porter,4,5.4
Plain Porter,The Porterhouse Brewing Company,Irish Dry Stout,3.87037037,4.3
Plan B IPA,Five Seasons North,American IPA,4.375,7.3
Planet Bean Coffee Stout,Spring House Brewing Company,American Stout,4.098901099,7
Planet Porter,Boulder Beer / Wilderness Pub,American Porter,3.411504425,5.51
Plank Bavarian Dunkler Weizenbock,Brauerei Michael Plank,Weizenbock,3.9375,7.5
Plank Bavarian Hefeweizen,Brauerei Michael Plank,Hefeweizen,3.84375,5.2
Plank Bavarian Heller Weizenbock,Brauerei Michael Plank,Weizenbock,4.035714286,7.5
Plank I (Rum Barrel),Heavy Seas Beer,Old Ale,3.166666667,8
Plank Walker's India Pale Ale,"Swashbuckler Brewing Co, LTD",American IPA,3.9375,6.4
Plankstettener Dinkel,Riedenburger Brauhaus,Keller Bier / Zwickel Bier,3.4,4.9
Plankstettener Spezial,Riedenburger Brauhaus,Keller Bier / Zwickel Bier,3,5.3
Plant 1 Powerhouse IPA,Snoqualmie Falls Brewing Company & Taproom,American Double / Imperial IPA,3.535714286,7.5
Plant To Pint,Port Brewing Company / Pizza Port,American Pale Ale (APA),4.130434783,6.5
Planters Pale Ale,The Port Gastropub / Sea Level Brewing Company,English Pale Ale,3.25,4.5
Platan Jedenáct 11°,M&#283;stský Pivovar Platan S.r.o.,Czech Pilsener,3.166666667,4.9
Platan Protivínský Granát Polotmavý Ležák 11°,M&#283;stský Pivovar Platan S.r.o.,Vienna Lager,2.5,4.6
Platan Práche&#328;ská Perla,M&#283;stský Pivovar Platan S.r.o.,Czech Pilsener,3.5,6
Platan Schwarzenbergské Pivo Kníecí 21,M&#283;stský Pivovar Platan S.r.o.,Euro Strong Lager,3,10.5
Platinum Blonde,Carolina Beer Company,American Blonde Ale,3.125,8.5
Platinum Blonde,Independent Distillers (Aust),American Pale Lager,1.75,4.6
Platinum Premium Lager,Southern Bay Brewing Company,Czech Pilsener,2,4.8
Platinum Unfiltered,Tinkoff,Keller Bier / Zwickel Bier,3.5,4.7
Platt's Folly Lager,Steel River Brewey,Euro Pale Lager,3.4,4.4
Platte Pale Ale,Wonder Bar (Wyoming State Brewing Company),American Pale Ale (APA),4,5.5
Playmaker,Daniel Thwaites Brewery PLC,English Bitter,4,4.2
Plaza Porter,Blue Corn Brewery,American Porter,3.75,5.5
Plaza Porter,Blue Corn Cafe and Brewery,American Porter,4.5,5.5
Plead The 5th Imperial Stout,Dark Horse Brewing Company,Russian Imperial Stout,4.218253968,12
Plead The Option,Dark Horse Brewing Company,American Double / Imperial Stout,3.3,14
Pleasanton Pale Ale,Main Street Brewery,American Pale Ale (APA),4,5.3
Pleasantville Smoked Porter,Captain Lawrence Brewing Co.,American Porter,4.128865979,6.4
Pleasurable Demise,Cornerstone Brewing Company,American Pale Ale (APA),4,5.4
Pledgdon Ale,Saffron Brewery,English Bitter,3.5,4.3
Pleepleus Plantain Wheat (DUPLICATE),Cigar City Brewing,American Pale Wheat Ale,4.25,5
Pleepleus Plantain Wheat Ale,Cigar City Brewing,American Pale Wheat Ale,4.5,5
Pleszures IPA,Royal Oak Brewery,American IPA,3.863636364,6.1
Plevna's Pale Ale (IPA),Koskipanimo Plevna,English India Pale Ale (IPA),3.5,4.6
Plevna's Stout,Koskipanimo Plevna,Irish Dry Stout,3.5,7
Pliny The Elder,Russian River Brewing Company,American Double / Imperial IPA,4.632606908,8
Pliny The Younger,Russian River Brewing Company,American Double / Imperial IPA,4.721283784,11
Plissken Pale Ale,Four Sons Brewery Restaurant,American Pale Ale (APA),3,5.5
Ploegers Vlaams Rood,Grand River Brewing,Flanders Oud Bruin,3.657894737,7
Plokkersbier,Brouwerij De Bie / D'Hellekappelle,Belgian Strong Pale Ale,2.6,7
Ploquette,Brasserie de l'Abbaye du Val-Dieu,Belgian Pale Ale,3.666666667,7.5
Plostnieku Pils Alus (Rafters Pils Beer),AS L&#257;&#269;pl&#275;a Alus,German Pilsener,2.5,4.6
Ploughman's Ale,Heartland Brewery Union Square,American Pale Ale (APA),2.5,4
Ploughmans,Mauldons,English Bitter,4,4.3
Plow Match Pale Ale,Limestone Brewing Company,American Pale Ale (APA),3.666666667,5.6
Plowboy Porter,Crown Valley Brewing & Distilling Co.,American Porter,3.479166667,5.5
Plowman's Ale,Grand River Brewing,American Amber / Red Ale,3.807692308,4.7
Plowman's Anniversary Ale,Grand River Brewing,American IPA,3.961538462,6.5
Pluff Mud Porter,Holy City Brewing,American Porter,3.3,5.5
Plug's Pond Pale Ale,The Tap Brewing Company,American Pale Ale (APA),4,4.25
Pluim,Brouwerij De Prael,Kölsch,4,5.7
Plum,Browar Namys&#322;ów Sp. z o.o.,Fruit / Vegetable Beer,2.75,4
Plum Crazy Wheat,Seabright Brewery,American Pale Wheat Ale,3.5,6
Plum Founded,Amnesia Brewing,Fruit / Vegetable Beer,3.75,5.2
Plum Porter,Cwmbran Brewery,English Porter,3,4.8
Plum Riot,Bootlegger's Brewery,Dubbel,3.458333333,7.8
Plum Rye Bock,Short's Brewing Company,Fruit / Vegetable Beer,3.411764706,6.5
Plum Street Porter,Bozeman Brewing Company,American Porter,4.333333333,5.75
Plumduff,Wychwood Brewery Company Ltd,Winter Warmer,3.5,5
Pluto - Belgian Style Golden Strong Ale,Midnight Sun Brewing Co.,Belgian Strong Pale Ale,4.208333333,8.7
Plutonium Pilsner,Rocky River Brewing,German Pilsener,4,4.2
Plzen,Brouwerij 't IJ,Belgian Pale Ale,3.452380952,5
Pms Smoked Molasses Porter,Five Seasons North,American Porter,3.5,4.5
Poacher's Choice,"Badger Brewery, Hall and Woodhouse",Winter Warmer,3.423076923,5.7
Poblano Porter,Manayunk Brewery and Restaurant,English Brown Ale,3.5,4.8
Pocock Pilsener,The Bobcat Café & Brewery,Czech Pilsener,4.5,4.2
Pocono Bitter,Barley Creek Brewing Company,American Amber / Red Ale,2.75,5
Podge Belgian Imperial Stout,Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,3.528481013,10.5
Podge Oak Aged Bourgogne Barrel (The Oak Podge),Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,4.089285714,10.5
Podge Oak Aged Glenrothes Barrel,Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,3.5,10.5
Podkovan Dark,Pivovar Podková&#328;,Euro Dark Lager,3.565217391,3.8
Podkovan Lezak,Pivovar Podková&#328;,Czech Pilsener,3.5,5
Podkovanske Dia Pivo,Pivovar Podková&#328;,Euro Pale Lager,3.5,4
Podkovanske Tmave,Pivovar Podková&#328;,Euro Dark Lager,4.5,4
Podkovansky Barchat,Pivovar Podková&#328;,Vienna Lager,4,4.7
Podkrkonoský Speciál,Nova Paka Brewery,Euro Strong Lager,3.5,6.3
Podkrkonoský Speciál Tmavý,Nova Paka Brewery,Munich Dunkel Lager,3.5,6.3
Podunk Oatmeal IPA,Naked City Taphouse,American IPA,4.25,5.8
Podvokan Premium Ager,Pivovar Podková&#328;,Czech Pilsener,3.75,5
Poet (Whiskey Barrel Aged),New Holland Brewing Company,Oatmeal Stout,3.5,5.2
Poff The Magic Dragon Red Rye IPA,Sun King Brewing Company,American Strong Ale,3,10
Pogue's Run Porter (formerly Flat12 Porter),Flat 12 Bierwerks,American Porter,4.181818182,5.5
Poiluchette Blonde Cuvée Du Château,Brouwerij Huyghe,Belgian Strong Pale Ale,2.666666667,7.5
Poiluchette Brune Cuvée Du Château,Brouwerij Huyghe,Belgian Strong Dark Ale,2,7.5
Point Belgian White,Stevens Point Brewery,Witbier,3.264227642,5.38
Point Break Pale Ale,Rock Bottom Restaurant & Brewery,American Pale Ale (APA),3.833333333,5
Point Cascade Pale Ale,Stevens Point Brewery,American Pale Ale (APA),3.458737864,5.4
Point Classic Amber,Stevens Point Brewery,American Amber / Red Lager,3.153846154,4.7
Point Defiance IPA,Harmon Restaurant & Brewery,American IPA,3.855263158,6.1
Point Five,Craftsman Brewing Co.,American IPA,3.3,3.7
Point Honey Light,Stevens Point Brewery,Light Lager,3.214285714,4.2
Point Nine,Sleeman Breweries Ltd.,Light Lager,2.333333333,0.9
Point Nine,Upper Canada Brewing Company,Low Alcohol Beer,3,0.9
Point Oktoberfest,Stevens Point Brewery,Märzen / Oktoberfest,3.455696203,5.15
Point Reyes Porter,Marin Brewing Company,American Porter,3.906779661,6
Point Special,Stevens Point Brewery,American Adjunct Lager,3.146616541,4.5
Point Spring Bock,Stevens Point Brewery,Bock,3.705882353,5.2
Point The Way IPA,Golden Road Brewing,American IPA,3.5,5.2
Pointer Brown Ale,Court Avenue Brewing Company,English Brown Ale,3.25,4.88
Poker,Cervecería Bavaria,American Adjunct Lager,2.65,4
Poker Ligera,Cervecería Bavaria,American Adjunct Lager,3,3.1
Pola Beer,Carib Brewery Limited,American Adjunct Lager,1.5,5
Pola Pils,Birrificio Barchessa Di Villa Pola,German Pilsener,2.5,4.7
Polar Bear Lager,Bear Brewing,American Adjunct Lager,3,5
Polar Bear Pilsner,Thirsty Bear Brewing Company,German Pilsener,3.5,5.7
Polar Bear Winter Ale,Boylan Bridge Brewpub,Winter Warmer,3.75,6.3
Polar Beer,Ölgerðin Egill Skallagrímsson,Euro Pale Lager,2.333333333,4.7
Polar Export,Antarctica (Companhia Brasileira De Bebidas),American Adjunct Lager,2,5.07
Polar ICE,Cervecería Polar Los Cortijos,American Adjunct Lager,2.75,5
Polar Light,Big Bear Brewing Company,Light Lager,2.75,4.9
Polar Light,Cervecería Polar Los Cortijos,Light Lager,1.75,6
Polar Negra,Cervecería Polar Los Cortijos,Euro Dark Lager,3.5,5
Polar Pale Ale,Broken Tooth Brewing,American Pale Ale (APA),3.75,5.1
Polar Pilsener Type Beer,Cervecería Polar Los Cortijos,American Adjunct Lager,2.7,4.5
Pole Shift Ale,Back Road Brewery,American Pale Ale (APA),3.875,5.6
Poleeko Gold Pale Ale,Anderson Valley Brewing Company,American Pale Ale (APA),3.876712329,5.5
Polestar Pilsner,Left Hand Brewing Company,German Pilsener,3.60989011,5.5
Policarpa La Fuerte,Bogota Beer Company,American IPA,4.5,8
Polished Off Pilsner,Four Sons Brewery Restaurant,German Pilsener,4.5,5.3
Polissonne,La Voie Maltée,American Barleywine,4.230769231,11
Pollenator,Long Trail Brewing Co.,American Pale Ale (APA),3.553333333,4.6
Pollux,Benelux Brewpub & Café,Smoked Beer,3.5,5.4
Polonia Pils,Flying Bison Brewing Company,Czech Pilsener,3.5,5.3
Polska Imperial Porter,Laurelwood Pizza Co. (CLOSED),Baltic Porter,4.4,8
Poltergeist ESB,Five Seasons North,Extra Special / Strong Bitter (ESB),4,5.2
Polycephalus,Elysian Brewing Company,Pumpkin Ale,4,7.6
Polycot,Hangar 24 Brewery,American Pale Wheat Ale,3.730769231,7.2
Polygamy Pale Ale,Roosters Brewing Company and Restaurant,American Pale Ale (APA),3.75,4
Polygamy Porter,Squatters Pub Brewery,American Porter,3.583333333,4
Polygamy Porter,Wasatch Brew Pub,American Porter,3.351851852,4
Polyphemus,Elysian Brewing Company,American Barleywine,4.1,8.5
Pom Cherry Bomb,High Water Brewing,Fruit / Vegetable Beer,3.833333333,7
Pomdher Hütt,AMB - Maître Brasseur,American Brown Ale,4,5
Pommal Bonne,Les Brasseurs du Hameau,Fruit / Vegetable Beer,4,5
Pomme D'api,AMB - Maître Brasseur,American Amber / Red Ale,2,5
Pomona Cherry Ale,Vintage Beers Pty Ltd,Fruit / Vegetable Beer,3,5.6
Pompatus Of Love,Naked City Taphouse,Saison / Farmhouse Ale,3.333333333,6.5
Pompier,"Pennichuck Brewing Company, Inc.",English Barleywine,3.633333333,12.1
Pompier Whiskey Barrel Aged Brewers Reserve,"Pennichuck Brewing Company, Inc.",English Barleywine,3,12.1
Pompion,Deschutes Brewery & Public House,Pumpkin Ale,4.25,6.8
Pompous Ass,Orlando Brewing Partners,Belgian IPA,3.583333333,6.2
Pompous Ass Brown Ale,San Marcos Brewery & Grill,American Brown Ale,3.666666667,8.1
Pompous Pompadour Porter,Wolf Brewing Company,American Porter,3.611111111,5
Pond Hopper English IPA,Rock Bottom Restaurant & Brewery,English India Pale Ale (IPA),3.5,6.6
Pong Beer Lite,Private Stock Spirits,Light Lager,3.5,4
Ponoras Bi&#269;uli&#371;,"UAB ""Astravo""",English Pale Ale,3.5,5.5
Pontefract Liquorice Stout,"Cairngorm Brewery Company, The",English Stout,4,6
Pontificale,Brouwerij De Leckere,Belgian Strong Pale Ale,3.25,7.2
Ponto Pale Ale,Port Brewing Company / Pizza Port,American Pale Ale (APA),3.875,5.4
Pony Express Gold,Flying Monkey Brewing Company,American Adjunct Lager,2.884615385,4.25
Pony Express Original Wheat,Flying Monkey Brewing Company,American Pale Wheat Ale,3.4375,5
Pony Express Rattlesnake Pale Ale,Flying Monkey Brewing Company,American Pale Ale (APA),3.526315789,5.2
Pony Malta,Cervecería Bavaria,Low Alcohol Beer,3,0.1
Ponytail Pale Ale,Long Valley Pub & Brewery,American Pale Ale (APA),4.5,5.4
Pooh Bah Porter,Outer Banks Brewing Station,English Porter,3.5,6.4
Pook's Pilsner,BJ's Restaurant & Brewhouse,German Pilsener,3.166666667,5.3
Pookah,Brugge Brasserie,American Wild Ale,4.21875,6
Poop Deck Porter,Astoria Brewing Company / Wet Dog Cafe,American Porter,4.166666667,6.2
Poor Man's Double IPA,Port Brewing Company / Pizza Port,American Double / Imperial IPA,4.336206897,9
Poor Man's Double IPA Brewed With Mango And Jalapeno,Port Brewing Company / Pizza Port,American Double / Imperial IPA,3.5,9
Poor Man's Double IPA W/Pineapple,Port Brewing Company / Pizza Port,American Double / Imperial IPA,4,9
Poor Mans Porter,McMenamins,American Porter,4,5.8
Poor Richard,Wynkoop Brewing Company,American Brown Ale,4.5,7.9
Poor Richard's Ale,Amos Howard's Brew Pub,Old Ale,3.714285714,6
Poor Richard's Ale,Back Street Brewery,American Brown Ale,3.5,5.8
Poor Richard's Ale,Brick House Brewery,Old Ale,3.833333333,7
Poor Richard's Ale,Coopersmith's Pub & Brewing,American Amber / Red Ale,3,7
Poor Richard's Ale,Goose Island Beer Co.,Old Ale,3.5,6.5
Poor Richard's Ale,Pagosa Brewing Co.,Old Ale,4,5
Poor Richard's Ale,Rock Bottom Restaurant & Brewery,American Brown Ale,3.5,5.5
Poor Richard's Ale,Triumph Brewing Company,Old Ale,4,7.5
Poor Richard's Old Lightning Rod,New Albanian Brewing Company - Pizzeria and Public House,Old Ale,4,7.2
Poor Richard's Tavern Spruce Ale,Yards Brewing Co.,Herbed / Spiced Beer,3.681506849,5
Poor Richards Ale,The Original Basil T's,American Strong Ale,4,5.5
Poor Soldier Porter,C.H. Evans Brewing Company,American Porter,3.5,6.5
Poorman Honey Blonde Ale,Bayhawk Ales,American Blonde Ale,2.25,6.7
Pootie-Poot's Imperial Stout,Ham's Restaurant & Brewhouse,Russian Imperial Stout,3.5,7.3
Popcorn Pilsner,Sun King Brewing Company,German Pilsener,3.714285714,5.4
Poperings Hommel Bier,Brouwerij Van Eecke N.V.,Belgian IPA,4.023121387,7.5
Poperings Nunnebier (for Nevejan Of Krombeke),Brouwerij Verhaeghe,Belgian Pale Ale,3,7.2
Poplar Porter,Northwoods Brewpub and Grill,American Porter,2.785714286,4.5
Poppa's Pilz,Sixpoint Brewery,Czech Pilsener,3.5,5.4
Poppaskull,Dogfish Head Brewery,Belgian Strong Pale Ale,3.806666667,9.5
Popper Svetlè Pivo,Pivovar Popper,Czech Pilsener,3.5,4
Popper Tmavé 10%,Pivovar Popper,Euro Dark Lager,3.5,3.2
Poppin Pilsner,Breakwater Brewing,German Pilsener,3,5.3
Poppin' Pils,Chama River Brewing Company,German Pilsener,3.5,4.8
Poppin' Pils,Four Peaks Brewing Company,German Pilsener,3.5,5
Poppy,Brasserie De Clerck,Bière de Garde,4,5.5
Poppy Otter,Otter Brewery Ltd,Extra Special / Strong Bitter (ESB),3.5,5
Poppy's Pappy Trappist Stout,Fort Collins Brewing,Foreign / Export Stout,3,9
Pops Hops Premium Select,Huebert Brewing Company,American Amber / Red Ale,2.5,4
Popskull,Three Floyds Brewing Co. & Brewpub,American Brown Ale,4.082644628,10
Popsum Pils,Triple Rock Brewery & Alehouse,German Pilsener,4,4.8
Populist,Eagle Rock Brewery,American IPA,4.038461538,7
Populist IPA In Spanish Cedar,Eagle Rock Brewery,American IPA,2,7
Porch Swing Single Ale,New Belgium Brewing,Belgian Pale Ale,3.853658537,6
Porcini Porter,Triple Rock Brewery & Alehouse,American Porter,3.5,5
Poretti,Carlsberg Italia S.p.A.,Euro Pale Lager,2.25,5
Poretti Bock 1877 Chiara,Carlsberg Italia S.p.A.,Bock,2.25,6.3
Poretti Bock 1877 Rossa,Carlsberg Italia S.p.A.,Bock,4,6.3
Poretti Originale Chiara 4 Luppoli,Carlsberg Italia S.p.A.,Euro Pale Lager,2,5.5
Pork Soda,Goose Island Beer Co.,Belgian IPA,3.625,7.5
Porkslap Pale Ale,Butternuts Beer & Ale,American Pale Ale (APA),3.202054795,4.3
Porpoise Point Pale Ale,A1A Aleworks,American Pale Ale (APA),2.95,5.42
Porpora,Birrificio Lambrate,American Amber / Red Ale,4,6
Porse Guld,Thisted Bryghus,Euro Pale Lager,3.1,5.8
Port Altar Boy,Avery Brewing Company,Quadrupel (Quad),4.5,10
Port Arthur Pale,Great White North Craft Brewery,English Pale Ale,3.166666667,5
Port Barrel Aged Hairy Eyeball,Lagunitas Brewing Company,American Strong Ale,4,9
Port Barrel Aged La Bestia Aimable,Ranger Creek Brewing & Distilling,Belgian Strong Dark Ale,4.5,9.5
Port Barrel Aged Oatmeal Stout,Anderson Valley Brewing Company,Oatmeal Stout,4.25,8.7
Port Barrel Odin,Minneapolis Town Hall Brewery,Baltic Porter,3.875,7.5
Port Frost,Minneapolis Town Hall Brewery,American Double / Imperial Stout,4.115384615,9.3
Port In The Storm Porter,The Port Gastropub / Sea Level Brewing Company,English Porter,2.375,5
Port Jeff Porter,Port Jeff Brewing Company,American Porter,4.2,5.3
Port Light,Rinkuškiai Alaus Darykloje,Euro Pale Lager,3,4.7
Port Manteaux,Watch City Brewing Co.,Lambic - Unblended,3.5,8.4
Port Night,Rinkuškiai Alaus Darykloje,Euro Dark Lager,2.5,5.2
Port O'Porter,Fort Street Brewery,English Porter,4.375,6.5
Port Pils,Port Brewing Company / Pizza Port,Czech Pilsener,4.5,5.5
Port Pilsner,Bellarine Brewing Co.,Czech Pilsener,3,4.6
Port Republic Lager,World Brews,American Adjunct Lager,2.722222222,4.5
Port Republic Light,World Brews,Light Lager,2.4,3.9
Port Republic Light Lager,Genesee Brewing Co. / Dundee Brewing Co.,American Adjunct Lager,2.666666667,4.3
Port Royal Export,"Cerveceria Hondurena, S.A. / BevCo Ltd",Dortmunder / Export Lager,2.783333333,4.8
Port Royal Stout,7 Seas Brewery and Taproom,American Stout,3.666666667,6.8
Port Stout,Marble Arch Pub,English Stout,4,4.7
Port Townsend Brown Porter,Port Townsend Brewing Company,American Porter,3.71875,5.6
Port Townsend Pale Ale,Port Townsend Brewing Company,American Pale Ale (APA),3.833333333,4.5
Port Townsend Winter Ale,Port Townsend Brewing Company,American Strong Ale,3.208333333,7.4
Port Truck Stout,Port Brewing Company / Pizza Port,Foreign / Export Stout,3.916666667,4.5
Port Wine Barrel-Aged Bare Tree,Two Brothers Brewing Company,Wheatwine,4.5,11.5
Port's Czech Pils,Port Brewing Company / Pizza Port,Czech Pilsener,3.5,5
Port's Pale Ale,Valley Brewing Company,English Pale Ale,3.5,4.3
Portage Porter,Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,American Porter,3.333333333,5.2
Portage Premium Lager,The Library,American Pale Lager,3,4.5
Portamarillo,Dogfish Head Brewery,American Porter,4,7
Porter,Alandale Brewing Company,English Porter,4,5.5
Porter,Antares,American Porter,3.75,5.5
Porter,Arctic Craft Brewery,American Porter,4,9.2
Porter,Bitter Root Brewing,American Porter,3.416666667,5.6
Porter,Blue Frog Grog & Grill,American Porter,3,7.2
Porter,Box Steam Brewery,English Porter,4,4.4
Porter,Brasserie Rancho El Paso,Baltic Porter,4,7
Porter,Broadway Brewery & Restaurant,American Porter,4.5,5.7
Porter,Broken Drum Brewery And Wood Grill,English Porter,3,5.7
Porter,Brugge Brasserie,American Porter,3.25,7
Porter,California Brewing Company,Baltic Porter,4,6
Porter,Coddington Brewing Co.,English Porter,4,5.1
Porter,Dark Star Brewing Company Limited,American Porter,4.083333333,5.5
Porter,Dent Brewery,English Porter,4,3.8
Porter,Emmett's Brewing Company,American Porter,4,4.3
Porter,Fearless Brewing Company,American Porter,3,5
Porter,Ferme Brasserie Schoune,English Porter,2.5,5
Porter,Flying Fish Brewing Company,American Porter,3.603448276,5.5
Porter,Fur Bryghus,Baltic Porter,3.75,6.5
Porter,Granville Island Brewery,English Porter,3,6
Porter,Grogg's Pinnacle Brewing Co.,American Porter,3.5,3.2
Porter,Grove Street Brewhouse,American Porter,4.5,5.8
Porter,HaandBryggeriet,American Porter,3.809210526,6
Porter,Hangar 24 Brewery,American Porter,4.214285714,8
Porter,Hargreaves Hill Brewing Company,English Porter,2.9,4.9
Porter,Hilltop Brewing Company,American Porter,4,5
Porter,Huisbrouwerij Klein Duimpje,English Porter,3.375,5.5
Porter,I.M. International Rokko Brewery,American Porter,2.333333333,5.3
Porter,Jupiter,American Porter,4,7
Porter,Kazbegi-Castel Lilo Brewery,Baltic Porter,3.857142857,5
Porter,Legend Brewing Co.,American Porter,3.489130435,6
Porter,Little Yeoman Brewery,American Porter,3.666666667,5
Porter,Mad Fox Brewing Company,English Porter,3.961538462,6
Porter,Mikkeller ApS,American Porter,4.2,8
Porter,Minneapolis Town Hall Brewery,American Porter,4,5.2
Porter,Mudgee Brewing Co,American Porter,3.833333333,4.3
Porter,Nøgne Ø - Det Kompromissløse Bryggeri A/S,English Porter,4.11,7
Porter,Pardubický pivovar a.s.,Baltic Porter,3.84,8
Porter,Port City Brewing,American Porter,4.1328125,7.5
Porter,Porter Brewing Co. Ltd.,English Porter,4,5
Porter,Red Lodge Ales,American Porter,4.25,5.75
Porter,Russian River Brewing Company,American Porter,4.403508772,6.1
Porter,Sailfish Bar & Grill / Twin Rivers Brewing Co.,American Porter,3.5,5.8
Porter,Scuttlebutt Brewing Company,American Porter,3.4625,5.8
Porter,Silverado Brewing Company,American Porter,3.5,5.39
Porter,Southern Tier Brewing Company,American Porter,3.681440443,5.2
Porter,Springfield Brewing Company,American Porter,3.857142857,5.2
Porter,"St. George Brewing Company, The",English Porter,4.134057971,5
Porter,Stepan Razin Brewery,Baltic Porter,3.986842105,8
Porter,Sudwerk Restaurant and Brewery,American Porter,3.5,5.2
Porter,Taps Fish House & Brewery,American Porter,3.714285714,5.4
Porter,The Brew Keeper,American Porter,3,5.2
Porter,The Defiant Brewing Company,American Porter,4.033333333,5.8
Porter,The Kernel Brewery,English Porter,4,5.9
Porter,The LAB (Lexington Avenue Brewery),American Porter,4,5.6
Porter,Timothy Taylor & Co. Limited,American Porter,4,3.8
Porter,Utenos Alus,Baltic Porter,3.472222222,6.8
Porter &#321;ódzki,Łódzkie Browary S.A.,Baltic Porter,4,9.5
Porter 1920,Hopfenstark,American Porter,3.5,5
Porter A Go-Go,Double Mountain Brewery & Taproom,American Porter,3,5
Porter And Proud,Goose Island Beer Co.,Baltic Porter,4.25,7.4
Porter Baltique Barrel Aged,Les Trois Mousquetaires,Baltic Porter,4.166666667,9.5
Porter Boom,Pardubický pivovar a.s.,Baltic Porter,3.857142857,8
Porter Cacao,Le Cheval Blanc,English Porter,3.5,5.5
Porter Cerise,Le Cheval Blanc,American Porter,3,6
Porter Du Marché,AMB - Maître Brasseur,Baltic Porter,3.4,7
Porter Fume,Micro-Brasserie Brouemont,Smoked Beer,4,5.5
Porter Impérial,AMB - Maître Brasseur,American Porter,3.8125,8.5
Porter Kembla,Five Islands Brewing Company,English Porter,4.25,5
Porter Lorraine,Brasserie Lorraine S.A.,English Porter,1.5,5
Porter No. 1,Luckie Ales,American Porter,4.5,7.3
Porter Noir,Hallertau Brewbar,American Wild Ale,5,6.6
Porter Porter,Harmon Restaurant & Brewery,American Porter,4.625,7.9
Porter Porter (471 Series),Breckenridge Brewery,American Porter,3.365384615,7.4
Porter Rye Ale,Kaimai Brewing Co.,English Porter,3.722222222,6.5
Porter Vitae,Destihl Restaurant & Brew Works,English Porter,4,6.98
Porter Wagoner,White Dog Brewery,English Porter,3,6.4
Porter Warmiński,Browar Kormoran,Baltic Porter,4.333333333,9
Porter Warsaw,Browary Warszawskie Królewskie S.A. (Brau Union Polska),English Porter,3.5,9.5
"Porter, Hey Porter!",Rock Bottom Restaurant & Brewery,English Porter,3.75,6.3
"Porter, Smoked",COAST Brewing Company,American Porter,4.225,5.8
Porteresque,Allgates Brewery,English Porter,3.875,4.4
Porterhouse Red,The Porterhouse Brewing Company,Irish Red Ale,3.604166667,4.4
Porteris,Aldaris,Baltic Porter,3.760869565,6.8
Portero Chingón - Wood Aged,Four Peaks Brewing Company,American Porter,2.5,6.5
Porticus,Gasthaus & Gosebrauerei Bayerischer Bahnhof,Baltic Porter,3.772727273,7
Portland Ale,Cascade Brewing / Raccoon Lodge & Brewpub,American Pale Ale (APA),2.666666667,5
Portland Wheat,Rock Bottom Restaurant & Brewery,American Pale Wheat Ale,3.166666667,5.5
Portlander March Lager,Laurelwood Pizza Co. (CLOSED),American Amber / Red Lager,3,5.7
Portly Imp,Drake's Brewing Co.,American Double / Imperial Stout,4,8.75
Portola Porter,Taps Fish House & Brewery,American Porter,3.166666667,5.8
Portrait (John Constable),Nethergate Brewery Co. Ltd.,English Bitter,4,4.7
Portside Amber,Trafalgar Ales & Meads,American Amber / Red Ale,2.833333333,5
Portside Amber Premium Ale,Trafalgar Ales & Meads,American Amber / Red Ale,2.7,5
Portside IPA,The Mash Tun,American IPA,3.75,7.1
Portsmouth 5 C's IPA,Portsmouth Brewery,American IPA,4.242857143,6.5
Portsmouth 5 C's Pale Ale,Portsmouth Brewery,American Pale Ale (APA),4,5.5
Portsmouth 90 Shilling Scotch Ale,Portsmouth Brewery,Scotch Ale / Wee Heavy,4.375,9.5
Portsmouth ALTernator,Portsmouth Brewery,Altbier,4.3125,7.5
Portsmouth American Style Pale Ale,Portsmouth Brewery,American Pale Ale (APA),3.8125,6
Portsmouth Apparently Amber Lager,Portsmouth Brewery,American Amber / Red Lager,3.625,5
Portsmouth Bahnyahd Pale Ale,Portsmouth Brewery,American Pale Ale (APA),4,6.5
Portsmouth Barleywine,Portsmouth Brewery,American Barleywine,3.896551724,11.5
Portsmouth Belgian Double Witt2,Portsmouth Brewery,Witbier,4.21875,7.5
Portsmouth Belgian Dubbel,Portsmouth Brewery,Dubbel,4.225,8
Portsmouth Belgian Golden (Abbey Ale),Portsmouth Brewery,Belgian Pale Ale,3.636363636,7.7
Portsmouth Belgian Wit,Portsmouth Brewery,Witbier,3.815789474,5
Portsmouth Biere De Miele,Portsmouth Brewery,Saison / Farmhouse Ale,4.208333333,5.5
Portsmouth Bière De Garde,Portsmouth Brewery,Bière de Garde,3.88,7
Portsmouth Black Cat Stout,Portsmouth Brewery,Irish Dry Stout,4.089473684,5.5
Portsmouth Blitzen Abbey Ale,Portsmouth Brewery,Belgian Pale Ale,4,6
Portsmouth Bluebeery Ale,Portsmouth Brewery,Fruit / Vegetable Beer,3.452380952,5.5
Portsmouth Bock,Portsmouth Brewery,Bock,4,6
